,Unnamed: 0,tout,q,qt,c,PLRs,PLR,hourindex
3370,3370,0.691666667,0.0,0.0,0.0,0.0,0.0,16
3371,3371,0.6,0.0,0.0,0.0,0.0,0.0,16
3372,3372,0.5,0.0,0.0,0.0,0.0,0.0,17
3373,3373,0.4,0.0,0.0,0.0,0.0,0.0,17
3374,3374,0.3,0.0,0.0,0.0,0.0,0.0,17
3375,3375,0.2,0.0,0.0,0.0,0.0,0.0,17
3376,3376,0.1,0.0,0.0,0.0,0.0,0.0,17
3377,3377,0.0,0.0,0.0,0.0,0.0,0.0,17
3378,3378,-0.1,0.0,0.0,0.0,0.0,0.0,17
3379,3379,-0.2,0.0,0.0,0.0,0.0,0.0,17
3380,3380,-0.3,0.0,0.0,0.0,0.0,0.0,17
3381,3381,-0.4,0.0,0.0,0.0,0.0,0.0,17
3382,3382,-0.5,0.0,0.0,0.0,0.0,0.0,17
3383,3383,-0.6,0.0,0.0,0.0,0.0,0.0,17
3384,3384,-0.825,0.0,0.0,0.0,0.0,0.0,18
3385,3385,-1.05,0.0,0.0,0.0,0.0,0.0,18
3386,3386,-1.275,0.0,0.0,0.0,0.0,0.0,18
3387,3387,-1.5,0.0,0.0,0.0,0.0,0.0,18
3388,3388,-1.725,0.0,0.0,0.0,0.0,0.0,18
3389,3389,-1.95,0.0,0.0,0.0,0.0,0.0,18
3390,3390,-2.175,0.0,0.0,0.0,0.0,0.0,18
3391,3391,-2.4,0.0,0.0,0.0,0.0,0.0,18
3392,3392,-2.625,0.0,0.0,0.0,0.0,0.0,18
3393,3393,-2.85,0.0,0.0,0.0,0.0,0.0,18
3394,3394,-3.075,0.0,0.0,0.0,0.0,0.0,18
3395,3395,-3.3,0.0,0.0,0.0,0.0,0.0,18
3396,3396,-3.441666667,0.0,0.0,0.0,0.0,0.0,19
3397,3397,-3.583333333,0.0,0.0,0.0,0.0,0.0,19
3398,3398,-3.725,0.0,0.0,0.0,0.0,0.0,19
3399,3399,-3.866666667,0.0,0.0,0.0,0.0,0.0,19
3400,3400,-4.008333333,0.0,0.0,0.0,0.0,0.0,19
3401,3401,-4.15,0.0,0.0,0.0,0.0,0.0,19
3402,3402,-4.291666667,0.0,0.0,0.0,0.0,0.0,19
3403,3403,-4.433333333,0.0,0.0,0.0,0.0,0.0,19
3404,3404,-4.575,0.0,0.0,0.0,0.0,0.0,19
3405,3405,-4.716666667,0.0,0.0,0.0,0.0,0.0,19
3406,3406,-4.858333333,0.0,0.0,0.0,0.0,0.0,19
3407,3407,-5.0,0.0,0.0,0.0,0.0,0.0,19
3408,3408,-5.091666667,0.0,0.0,0.0,0.0,0.0,20
