,p0,m0
7768,13835.526769999999,15.72342654
7769,14038.4257,15.83455241
7770,12211.40216,14.88137688
7771,12179.263340000001,14.8645271
7772,15140.26475,16.26646811
7773,12901.41318,15.25656644
7774,12411.902259999999,14.99193038
7775,12835.18744,15.22171106
7776,13319.72638,15.47404343
7777,13276.54223,15.43935187
7778,12552.4701,15.06887981
7779,12349.509829999999,14.95865628
7780,13693.85307,15.63445319
7781,12381.67338,14.97667195
7782,13936.42591,15.743479999999998
7783,12831.021190000001,15.21961461
7784,12008.68036,14.76970042
7785,12090.617390000001,14.81541222
7786,13170.9,15.37684188
7787,12343.24806,14.95476584
7788,12029.96189,14.78164771
7789,13328.777479999999,15.44926398
7790,12008.68036,14.76970042
7791,13838.85046,15.6897297
7792,12359.33233,14.96289234
7793,12493.374670000001,15.03664313
7794,12130.96113,14.83766338
7795,12008.68036,14.76970042
7796,13463.917480000002,15.50453312
7797,13751.55065,15.67910339
7798,13052.30458,15.33644317
7799,12321.32444,14.94245536
7800,12008.68036,14.76970042
7801,12008.68036,14.76970042
7802,12309.67275,14.93655176
7803,12215.40905,14.8852522
7804,12566.61348,15.07606656
7805,12336.327729999999,14.95205663
7806,12208.0621,14.88040362
7807,12065.22024,14.80140963
7808,12340.88715,14.954564499999998
7809,12412.90368,14.993196300000001
7810,12008.68036,14.76970042
7811,12008.68036,14.76970042
7812,12008.68036,14.76970042
7813,12411.93209,14.98956305
7814,12811.48596,15.20349425
7815,12276.681209999999,14.91917464
7816,12008.68036,14.76970042
7817,12179.602920000001,14.86536037
7818,12008.68036,14.76970042
7819,12812.17455,15.19667765
7820,12140.07933,14.84334436
7821,12514.87472,15.04967217
7822,12142.7166,14.84445731
7823,12008.68036,14.76970042
7824,12008.68036,14.76970042
7825,12068.4346,14.80320652
7826,12332.169179999999,14.94846285
7827,12008.68036,14.76970042
7828,12008.68036,14.76970042
7829,12051.16721,14.79358891
7830,12008.68036,14.76970042
7831,12008.68036,14.76970042
7832,12008.68036,14.76970042
7833,12008.68036,14.76970042
7834,12508.388190000001,15.04052608
7835,12008.68036,14.76970042
7836,12585.7896,15.08679637
7837,12008.68036,14.76970042
7838,12158.03662,14.8530084
7839,12662.94782,15.12099443
7840,12008.68036,14.76970042
7841,12059.70335,14.79833199
7842,12593.001240000001,15.09200864
7843,12289.84231,14.92644196
7844,12008.68036,14.76970042
7845,12987.404840000001,15.28985839
7846,12008.68036,14.76970042
7847,12028.50005,14.78084531
7848,12320.80546,14.94256949
7849,12008.68036,14.76970042
7850,13279.25721,15.4502761
7851,12250.552459999999,14.90407335
7852,15115.752519999998,16.24745657
7853,13205.44376,15.41358854
7854,13210.47008,15.41677128
7855,12750.7562,15.17241149
7856,13669.20864,15.60639147
7857,13086.81883,15.35451267
7858,12516.987579999999,15.04808448
7859,12008.68036,14.76970042
7860,12864.94478,15.23545286
7861,13270.55754,15.44538116
7862,13711.696030000001,15.65718206
7863,12835.77059,15.2199515
7864,13299.66294,15.46476363
7865,12879.41465,15.24531063
7866,13299.84976,15.46515323
7867,12417.33865,14.99394251
