,t1,t18
553,23.2513510163,21.9785750175
554,23.2560779812,21.9840553664
555,23.2603056523,21.9881050526
556,23.2642852084,21.9912338678
557,23.267956273,21.9936474686
558,23.2711437444,21.9955038723
559,23.2742671166,21.9969216904
560,23.3295913462,22.004392677
561,23.2716840795,22.0202525622
562,23.2369811645,22.0356492256
563,23.227443237,22.0478322548
564,23.2292050755,22.0568943587
565,23.232897009,22.0638368136
566,23.2353273287,22.0694463128
567,23.2366263365,22.0741917575
568,23.2376775612,22.0783022684
569,23.2386500735,22.0818948989
570,23.2397090137,22.085052152
571,23.2407523264,22.0878644179
572,23.215376235,22.0645083693
573,23.0974967267,22.0284137864
574,23.0198551245,22.0004759531
575,22.9883162309,21.9839979695
576,22.9824151501,21.9756405942
577,22.9833249754,21.9716193899
578,22.9827048011,21.9696022895
579,22.9800577178,21.9685569588
580,22.9770660201,21.9681098178
581,22.9741365644,21.9681064116
582,22.9715010515,21.9684365823
583,22.9691692661,21.9690003029
584,22.9836168174,21.9511289319
585,23.0022712646,21.9245677095
586,22.9706579556,21.9005137366
587,22.961221476,21.8832781631
588,22.9535801979,21.872071698
589,22.9474266412,21.8647381016
590,22.9417997392,21.859568208
591,22.9366560409,21.8556223794
592,22.9319049991,21.8524610295
593,22.927720867,21.8498726303
594,22.9247145478,21.8477280842
595,22.922414125,21.8459286561
596,22.7608640588,21.818010547
597,22.6202200636,21.77852453
598,22.5600503914,21.7425724834
599,22.5264696017,21.7168630701
600,22.5078886971,21.7003033391
601,22.4967402584,21.6895125722
602,22.48820144,21.6818562548
603,22.4812272591,21.675900685
604,22.4749300854,21.6710057672
605,22.4694695136,21.6668909856
606,22.4649265477,21.663379509
607,22.4610237994,21.6603552376
608,22.2444626765,21.6281199724
609,22.1654393686,21.5847297148
610,22.1280900934,21.5455995655
611,22.1038229671,21.517694529
612,22.0863028752,21.4992723512
613,22.0726050293,21.4865757427
614,22.0602931266,21.4768372104
615,22.0488856533,21.4686786037
616,22.0380011203,21.4615225211
617,22.0281414255,21.4551644501
618,22.0189531109,21.4494600637
619,22.0118086181,21.4442691023
620,22.0677707367,21.440040773
621,22.0993331065,21.4356658357
622,22.0878181162,21.430724893
623,22.0874512267,21.4266404115
624,22.0820001367,21.4227975209
625,22.0779354082,21.4191365883
626,22.074140386,21.4156184285
627,22.0697959723,21.4122253211
628,22.0656005542,21.4089399659
629,22.0614537778,21.4057515316
630,22.0577412663,21.4026526073
631,22.054101185,21.3996365634
632,21.9984808746,21.398523245
633,21.9446066487,21.396682031
634,21.9409953407,21.3933385219
635,21.9330527963,21.3896090719
636,21.9284937716,21.3862596291
637,21.9250044764,21.3832842393
638,21.9219568418,21.3805404001
639,21.9184084991,21.3779328606
640,21.9155071918,21.3754017273
641,21.9120858755,21.3729049689
642,21.908708918,21.3704344835
643,21.9048710805,21.3679912319
644,21.8687807622,21.3656928369
645,21.8084170329,21.3631208667
646,21.8012816556,21.3607448974
647,21.7894478186,21.358292591
648,21.7814236476,21.3558987189
649,21.7741562663,21.3535752791
650,21.7669777591,21.3512980622
651,21.7596909703,21.3490464248
652,21.7524829228,21.3468111024
653,21.7453843726,21.344605516
654,21.7382507304,21.3424252403
655,21.7311346386,21.3402483655
656,21.713121291,21.3380827844
657,21.6925885559,21.3360122724
658,21.6856964225,21.3336732568
659,21.6787946621,21.3314238866
660,21.6721678122,21.3292918184
661,21.6660711331,21.327219634
662,21.6598900368,21.3251630031
663,21.6534326626,21.323106962
664,21.6468508643,21.3210423283
665,21.6401669256,21.3189843108
666,21.6334972269,21.3169411683
667,21.6266129376,21.3149118556
668,21.6632915264,21.327694168
669,21.7063324845,21.3453936956
670,21.7353125503,21.3596184693
671,21.7471036377,21.3683049138
672,21.7493488542,21.3727678344
673,21.7480507703,21.3748393025
674,21.7461106404,21.3757276415
675,21.7437221799,21.3760103908
676,21.7407769956,21.3759129181
677,21.73729732,21.3755259586
678,21.7331942393,21.374918032
679,21.7289389455,21.3741384614
680,21.755627954,21.4019589997
681,21.8119256818,21.4406597858
682,21.8872288425,21.4744809126
683,21.9183897262,21.4977822399
684,21.9317401197,21.5123495017
685,21.9373422863,21.5214274063
686,21.9410878301,21.5274404979
687,21.9445465911,21.5317101703
688,21.9476996608,21.5348739092
689,21.9501232377,21.53722543
690,21.9516271765,21.5389527494
691,21.9524144886,21.5402032478
692,22.0143732835,21.5403226498
693,22.0363479305,21.5397335577
694,22.0279118477,21.5399819069
695,22.0297102748,21.5408889263
696,22.0284080908,21.5416011167
697,22.0272070434,21.5420182974
698,22.0260171177,21.542205181
699,22.0247537712,21.5422259042
700,22.0234529457,21.5421544207
701,22.0222386254,21.5420143128
702,22.0208477393,21.5418164338
703,22.0195682869,21.541577962
704,22.3993045512,21.6047274448
