,t11,t12,t13,t14,t15,t16,t17,t18
357,21.3709334883,20.3631780814,21.1383247062,19.6834192417,20.5270089646,21.3078869759,20.1113517464,21.1383247062
358,21.3680976226,20.3606252899,21.135077076,19.5750905505,20.524312243,21.3114576887,20.1373704342,21.135077076
359,21.3645610307,20.3577258886,21.1308531678,19.5408108188,20.521143983,21.3143668261,20.1629656658,21.1308531678
360,21.3613420263,20.3554207806,21.1275890744,19.5489602525,20.5185990808,21.3183123569,20.1906200478,21.1275890744
361,21.3584759342,20.3537148601,21.1251072539,19.5712766673,20.5166771151,21.3230630593,20.2201948817,21.1251072539
362,21.3558379872,20.3524327028,21.1230468144,19.5915013009,20.5151861315,21.3273631787,20.2468250777,21.1230468144
363,21.3533224673,20.3514296587,21.1212253174,19.6059729684,20.5139733965,21.3305273852,20.2682070807,21.1212253174
364,21.3508595954,20.3506102529,21.1195579778,19.6167556286,20.5129391808,21.3326006923,20.2851751556,21.1195579778
365,21.3484215743,20.3499227408,21.1180113431,19.6262015217,20.5120317152,21.3339073138,20.2994120116,21.1180113431
366,21.3460087803,20.3493434238,21.116576229,19.6353491977,20.5112305698,21.3347467666,20.312093552,21.116576229
367,21.3436213383,20.3488524493,21.1152255306,19.6442830302,20.5105178977,21.3352775363,20.323683691,21.1152255306
368,21.3427743995,20.3485473202,21.1146410524,19.8886921286,20.5101400926,21.3351625137,20.3279667967,21.1146410524
