,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
1831,1831,-0.366666666667,41.1666666667,2555.34991192,23.8511146215,23.8499887981,23.8505343372,23.8499599977,23.5536048499,23.85,3.14520632053,63539.577916
1832,1832,-0.275,48.75,2555.34991192,23.8511780404,23.84995186,23.8509301673,23.8499582744,23.5407292417,23.85,3.14520632053,63219.7279501
1833,1833,-0.183333333333,56.3333333333,2555.34991192,23.8493132506,23.8486392367,23.8506905726,23.8499567207,23.5276259356,23.85,3.14520632053,62568.1986483
1834,1834,-0.0916666666667,63.9166666667,2555.34991192,23.8505441154,23.8487012503,23.8483330301,23.8499552747,23.514387705,23.85,3.14520632053,62403.1796234
1835,1835,0.0,71.5,2555.34991192,23.8507310767,23.8490967505,23.8501022966,23.8499539663,23.5010604421,23.85,3.14520632053,61732.410115
1836,1836,0.183333333333,79.0833333333,2555.34991192,23.5232855812,23.5283453825,23.5287819019,23.5293187824,23.5132674011,23.52,3.16102748479,74825.0098994
1837,1837,0.366666666667,86.6666666667,2397.3782439,23.5200623337,23.5204303676,23.5197334135,23.5203463965,23.4781906573,23.52,3.14520632053,64636.2300049
1838,1838,0.55,94.25,2397.3782439,23.5206964897,23.5195427573,23.5195475736,23.5199640943,23.4257362278,23.52,3.14520632053,47512.3981807
1839,1839,0.733333333333,101.833333333,2397.3782439,23.5190502483,23.5203768359,23.5185897328,23.519953396,23.3815721997,23.52,3.14520632053,51129.5184444
1840,1840,0.916666666667,109.416666667,2397.3782439,23.5200937396,23.5180412209,23.5177135829,23.5199522458,23.3523585502,23.52,3.14520632053,50860.677765
1841,1841,1.1,117.0,2397.3782439,23.5194961082,23.5193780504,23.5220593488,23.5199511563,23.3341098776,23.52,3.14520632053,50138.9223123
1842,1842,1.28333333333,118.416666667,2397.3782439,23.5199386726,23.5219703018,23.5200069488,23.5199501932,23.3214301778,23.52,3.14520632053,50017.1792329
1843,1843,1.46666666667,119.833333333,2397.3782439,23.5197451416,23.5191017235,23.52113352,23.5199494765,23.3109757641,23.52,3.14520632053,49649.4425995
1844,1844,1.65,121.25,2397.3782439,23.5194078177,23.5201912922,23.5204051253,23.5199489104,23.3014335747,23.52,3.14520632053,49402.1246751
1845,1845,1.83333333333,122.666666667,2397.3782439,23.5194177283,23.5220448252,23.5206656231,23.5199484619,23.2924879058,23.52,3.14520632053,49153.2706273
1846,1846,2.01666666667,124.083333333,2397.3782439,23.5198456455,23.5182511938,23.5205586596,23.5199480562,23.2841385901,23.52,3.14520632053,48902.570888
1847,1847,2.2,125.5,2397.3782439,23.5205438809,23.5187236646,23.5192361366,23.5199476878,23.2762978626,23.52,3.14520632053,48650.1980357
1848,1848,2.10833333333,126.916666667,2397.3782439,23.7980435033,23.7870322997,23.7821661186,23.8030116333,23.2656184674,23.81,3.14520632053,72293.3617869
1849,1849,2.01666666667,128.333333333,2397.3782439,23.8094214199,23.8096580774,23.8067928315,23.8095989052,23.2977751378,23.81,3.14520632053,44952.6926242
1850,1850,1.925,129.75,2397.3782439,23.8101559539,23.8084153477,23.8079626654,23.8099497977,23.328386984,23.81,3.14520632053,58636.707851
1851,1851,1.83333333333,131.166666667,2239.40657588,23.8102293083,23.8101004466,23.8102660205,23.8099513367,23.3504798899,23.81,3.14520632053,55302.14259
1852,1852,1.74166666667,132.583333333,2239.40657588,23.8111541906,23.8097555546,23.8095257168,23.8099491208,23.3653500509,23.81,3.14520632053,55120.1423192
1853,1853,1.65,134.0,2239.40657588,23.8108102198,23.8109582361,23.8106574738,23.8099472272,23.3762744558,23.81,3.14520632053,54696.5954688
1854,1854,1.55833333333,141.166666667,2239.40657588,23.8109269587,23.8093443406,23.8115326915,23.8099455871,23.3855841658,23.81,3.14520632053,54267.824176
1855,1855,1.46666666667,148.333333333,2239.40657588,23.8103970007,23.810445205,23.8111819916,23.8099441781,23.3943151928,23.81,3.14520632053,53614.0316403
1856,1856,1.375,155.5,2239.40657588,23.8112240969,23.8099589068,23.8099257592,23.809942886,23.4027841197,23.81,3.14520632053,53170.9759088
1857,1857,1.28333333333,162.666666667,2239.40657588,23.8101050863,23.8090285501,23.808332464,23.8099416976,23.4110725353,23.81,3.14520632053,52381.4300681
1858,1858,1.19166666667,169.833333333,2239.40657588,23.8110866781,23.808813901,23.8100065389,23.8099405692,23.4192191275,23.81,3.14520632053,52037.5399366
1859,1859,1.1,177.0,2239.40657588,23.8089992517,23.8093724393,23.8088706052,23.8099394718,23.427370577,23.81,3.14520632053,51103.0029105
1860,1860,1.1,184.166666667,2239.40657588,23.8004602118,23.8006728486,23.7997348367,23.8002638855,23.4350902022,23.8,3.14520632053,50015.3681336
1861,1861,1.1,191.333333333,2239.40657588,23.7997911231,23.7996465109,23.8015354621,23.7999495787,23.4399103926,23.8,3.14520632053,50150.2939565
1862,1862,1.1,198.5,2239.40657588,23.7996420349,23.8010545313,23.802428279,23.7999382403,23.443421276,23.8,3.14520632053,49153.3141004
1863,1863,1.1,205.666666667,2239.40657588,23.7995757434,23.8013692734,23.7997710011,23.7999373851,23.4465909723,23.8,3.14520632053,48654.3115654
1864,1864,1.1,212.833333333,2239.40657588,23.8004805569,23.8003605286,23.7988916037,23.7999367339,23.4497425267,23.8,3.14520632053,48143.1193141
1865,1865,1.1,220.0,2239.40657588,23.7993305866,23.8020290728,23.80217296,23.7999361163,23.452947829,23.8,3.14520632053,47363.8509006
1866,1866,1.1,211.75,2239.40657588,23.7996846898,23.7995253461,23.7999522067,23.7999355762,23.4562376354,23.8,3.14520632053,47495.1544548
1867,1867,1.1,203.5,2239.40657588,23.8002047363,23.7997493029,23.8017752004,23.7999351104,23.4595018536,23.8,3.14520632053,47495.4160611
1868,1868,1.1,195.25,2239.40657588,23.8007341788,23.8006087948,23.801113441,23.7999346944,23.4627524294,23.8,3.14520632053,47626.2550307
1869,1869,1.1,187.0,2239.40657588,23.7993643235,23.8009255466,23.8010766374,23.799934342,23.4660156406,23.8,3.14520632053,47626.5607032
1870,1870,1.1,178.75,2239.40657588,23.7999708855,23.80034283,23.8000795303,23.7999340127,23.4692900646,23.8,3.14520632053,48015.8609977
1871,1871,1.1,170.5,2239.40657588,23.8005692016,23.7989644632,23.8002721616,23.7999337434,23.4725724676,23.8,3.14520632053,48144.9930004
