,tout,m,gas,q,dt
108,-8.716666667,5.526691091999999,258451.4882,-210276.86865630472,-9.058932419999998
109,-8.533333333,6.868567765,327874.601,-266761.15742188075,-9.247133239999997
110,-8.35,6.343368049,299709.9947,-246456.9417715561,-9.25064158
111,-8.166666667000001,6.860177865000001,322849.0379,-264097.65832089115,-9.166000660000002
112,-7.983333332999999,6.760128021,313782.5122,-256938.79478738765,-9.049518489999997
113,-7.8,7.150939523000002,327148.5601,-266760.11296467023,-8.881953539999998
114,-7.6166666670000005,7.06535728,318113.9032,-259901.60847030234,-8.758415589999998
115,-7.433333332999999,5.940894345999999,274021.0625,-222985.44437851792,-8.9366633
116,-7.25,5.635644843000001,267375.9749,-219918.3135848905,-9.291128999999998
117,-7.066666667000001,5.348847922000001,261128.7055,-215395.23414016532,-9.587967409999997
118,-6.8833333329999995,6.164135033,301331.1583,-247022.9295087687,-9.541481959999999
119,-6.7,6.010436004000001,289585.2322,-237930.2176287723,-9.425281589999997
120,-6.558333332999999,5.503017215,268854.2998,-218992.88370988818,-9.475013570000002
121,-6.416666667,6.075492204000001,288372.4479,-238624.28570426774,-9.351556090000003
122,-6.275,6.618460073,307355.1478,-253304.22341599962,-9.112471589999998
123,-6.1333333329999995,5.754431486999999,265627.9754,-218790.60563473534,-9.052675569999998
124,-5.9916666670000005,5.632554361,265560.839,-216781.01394993265,-9.163609229999999
125,-5.85,5.686821028,266229.5831,-220768.8902961394,-9.243129199999998
126,-5.708333333,6.304824805999999,293295.6114,-242290.52893258698,-9.14985316
127,-5.566666667000001,5.412590447,256991.4691,-206899.5016293799,-9.101332640000003
128,-5.425,5.485266429000001,261232.6531,-212062.21106196937,-9.204840509999997
129,-5.283333333,5.162828315,259023.2277,-198689.92705364872,-9.16302511
130,-5.141666667,5.219793015,253533.242,-200309.22630805633,-9.136889680000003
131,-5.0,6.104069375000001,281554.5595,-232299.08729777325,-9.0610547
132,-4.858333333,5.715579128999999,263082.336,-218229.64633316227,-9.090844240000003
133,-4.716666667,4.923972448999999,247686.3246,-187975.45576164205,-9.089421469999998
134,-4.575,5.359433234,261198.1362,-206665.0854386558,-9.181189609999997
135,-4.433333333,5.853709511000001,272089.2409,-224889.68696016932,-9.147219120000003
136,-4.291666667,5.7710312969999995,268588.8138,-222482.37378235007,-9.178947579999999
137,-4.15,5.155316296,259692.1858,-196783.29375084574,-9.088320189999997
138,-4.008333333,5.417245631,262296.3877,-206597.9615699706,-9.080258530000002
139,-3.866666667,5.767472317,266700.8542,-219685.75467092168,-9.069160490000002
140,-3.725,4.594629763,233791.5553,-176836.4468050706,-9.163723320000003
141,-3.583333333,5.622034842,270012.9585,-216792.4695653878,-9.181240619999997
142,-3.441666667,5.118078631,255788.2981,-195356.53452096417,-9.088070729999998
143,-3.3,5.088969487,252872.6816,-193400.60799729588,-9.048543899999999
144,-3.208333333,5.428742644,257129.5501,-208130.3178254674,-9.128234810000002
145,-3.116666667,5.7610299419999995,268733.3459,-220848.85798509346,-9.127371660000001
146,-3.025,4.8441203580000005,250153.4262,-184262.34114376205,-9.056749779999997
147,-2.933333333,5.222717424000001,261390.1481,-196197.17824121699,-8.94431195
148,-2.8416666669999997,4.986779951000001,254694.7457,-185754.68233540008,-8.868910550000003
149,-2.75,4.938424024000001,249799.7731,-181973.21210806962,-8.773437649999998
150,-2.6583333330000003,4.857060752000001,236719.1985,-181883.54795253216,-8.916010909999997
151,-2.566666667,5.1249751660000005,263327.1037,-192348.82169752373,-8.936109350000002
152,-2.475,5.4280446179999995,259571.0661,-203344.68411657796,-8.919492079999998
153,-2.383333333,5.4651171739999995,259968.6472,-205669.9313144509,-8.960289359999997
154,-2.291666667,5.259462201,264475.1593,-195471.67184817855,-8.848979700000001
155,-2.2,4.838009603,240790.8931,-180064.45304303782,-8.861596470000002
