,z0,tout,s,i,t1,t2,sp0,m,rh
1806,23.7601402485,-2.8,0.0,13254.5228059,23.7601402485,23.7601597225,23.76,1.18103114901,0.0
1807,23.7601833455,-2.8,0.0,13254.5228059,23.7601833455,23.7602209917,23.76,1.18103114901,0.0
1808,23.7600895011,-2.8,0.0,13254.5228059,23.7600895011,23.7599509211,23.76,1.18103114901,0.0
1809,23.760258028,-2.8,0.0,13254.5228059,23.760258028,23.7600836113,23.76,1.18103114901,0.0
1810,23.7602214498,-2.8,0.0,13254.5228059,23.7602214498,23.7600866877,23.76,1.18103114901,0.0
1811,23.7603719629,-2.8,0.0,13254.5228059,23.7603719629,23.7599629912,23.76,1.18103114901,0.0
1812,23.7404553609,-2.65833333333,0.0,13254.5228059,23.7404553609,23.7413522883,23.74,1.18103114901,0.0
1813,23.7402980593,-2.51666666667,0.0,13254.5228059,23.7402980593,23.7400193634,23.74,1.18103114901,0.0
1814,23.7398666342,-2.375,0.0,13254.5228059,23.7398666342,23.7401347368,23.74,1.18103114901,0.0
1815,23.7400581913,-2.23333333333,0.0,13254.5228059,23.7400581913,23.7399363177,23.74,1.18103114901,0.0
1816,23.740181283,-2.09166666667,0.0,13254.5228059,23.740181283,23.74015075,23.74,1.18103114901,0.0
1817,23.7404250929,-1.95,0.0,13254.5228059,23.7404250929,23.7403957292,23.74,1.18103114901,0.0
1818,23.7402978737,-1.80833333333,12.25,13254.5228059,23.7402978737,23.7397573559,23.74,1.18103114901,0.0
1819,23.740267566,-1.66666666667,13.5,13254.5228059,23.740267566,23.7398509585,23.74,1.18103114901,0.0
1820,23.7399671908,-1.525,14.75,13254.5228059,23.7399671908,23.7402046776,23.74,1.18103114901,0.0
1821,23.7405132268,-1.38333333333,16.0,13254.5228059,23.7405132268,23.7396900774,23.74,1.18103114901,0.0
1822,23.7403819899,-1.24166666667,17.25,13254.5228059,23.7403819899,23.7401193062,23.74,1.18103114901,0.0
1823,23.7400810261,-1.1,18.5,13254.5228059,23.7400810261,23.7398895947,23.74,1.18103114901,0.0
1824,23.8485028615,-1.00833333333,19.75,24062.4421654,23.8485028615,23.8435963029,23.85,1.18103114901,0.0
1825,23.8498504781,-0.916666666667,21.0,24062.4421654,23.8498504781,23.849726861,23.85,1.18103114901,0.0
1826,23.8498376943,-0.825,22.25,24062.4421654,23.8498376943,23.8497006535,23.85,1.18103114901,0.0
1827,23.8503190571,-0.733333333333,23.5,24062.4421654,23.8503190571,23.8497366411,23.85,1.18103114901,0.0
1828,23.8501739256,-0.641666666667,24.75,24062.4421654,23.8501739256,23.8500254513,23.85,1.18103114901,0.0
1829,23.8500906075,-0.55,26.0,24062.4421654,23.8500906075,23.8500917603,23.85,1.18103114901,0.0
1830,23.8505027675,-0.458333333333,33.5833333333,24062.4421654,23.8505027675,23.8497630508,23.85,1.18103114901,0.0
1831,23.849832948,-0.366666666667,41.1666666667,24062.4421654,23.849832948,23.84996418,23.85,1.18103114901,0.0
1832,23.850441751,-0.275,48.75,24062.4421654,23.850441751,23.8501513283,23.85,1.18103114901,0.0
1833,23.8504126333,-0.183333333333,56.3333333333,24062.4421654,23.8504126333,23.8499011654,23.85,1.18103114901,0.0
1834,23.8500382087,-0.0916666666667,63.9166666667,24062.4421654,23.8500382087,23.8502565832,23.85,1.18103114901,0.0
1835,23.8505689187,0.0,71.5,24062.4421654,23.8505689187,23.8502610004,23.85,1.18103114901,0.0
1836,23.5255592565,0.183333333333,79.0833333333,24062.4421654,23.5255592565,23.5307641285,23.52,2.38673584873,752.410476339
1837,23.5204633907,0.366666666667,86.6666666667,24062.4421654,23.5204633907,23.5200389566,23.52,1.18103114901,0.0
1838,23.5198666589,0.55,94.25,24062.4421654,23.5198666589,23.5201058791,23.52,1.18103114901,0.0
1839,23.5203961367,0.733333333333,101.833333333,24062.4421654,23.5203961367,23.5199132367,23.52,1.18103114901,0.0
1840,23.5204781963,0.916666666667,109.416666667,24062.4421654,23.5204781963,23.5199743349,23.52,1.18103114901,0.0
1841,23.5199012174,1.1,117.0,24062.4421654,23.5199012174,23.5199749084,23.52,1.18103114901,0.0
1842,23.519941849,1.28333333333,118.416666667,24062.4421654,23.519941849,23.5199674376,23.52,1.18103114901,0.0
1843,23.5202183407,1.46666666667,119.833333333,24062.4421654,23.5202183407,23.5199216745,23.52,1.18103114901,0.0
1844,23.5202859927,1.65,121.25,24062.4421654,23.5202859927,23.5200387674,23.52,1.18103114901,0.0
1845,23.5200001107,1.83333333333,122.666666667,24062.4421654,23.5200001107,23.5199377062,23.52,1.18103114901,0.0
