,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
4188,3.94166666667,871.333333333,0.0,22.7279737144,23.2765013385,23.279009595,23.277867236,23.2780366654,23.2797324335,6.50693287061,22.7190203147
4189,3.98333333333,867.666666667,0.0,22.7406621054,23.2793879517,23.2817419789,23.2812099059,23.2798085612,23.2799673347,6.52100910506,22.7279737144
4190,4.025,864.0,0.0,22.7544052864,23.2798974022,23.2803644154,23.279879483,23.2810903912,23.2806028709,6.50741795963,22.7406621054
4191,4.06666666667,860.333333333,0.0,22.7670262302,23.2799869128,23.2794858191,23.2803647184,23.2819400428,23.280944003,6.50215202163,22.7544052864
4192,4.10833333333,856.666666667,0.0,22.7780597813,23.2800028143,23.278997246,23.2790509082,23.2803997012,23.2794578234,6.49444475927,22.7670262302
4193,4.15,853.0,0.0,22.7877512375,23.2800058873,23.2782618219,23.2797639401,23.2809076931,23.2792748154,6.48538837242,22.7780597813
4194,4.19166666667,826.166666667,0.0,22.7962128782,23.2800065999,23.2812271092,23.2801054748,23.2815289077,23.280055206,6.43740962989,22.7877512375
4195,4.23333333333,799.333333333,0.0,22.8034523438,23.2800068257,23.2792365473,23.2791873934,23.2800864214,23.2810525435,6.37150918814,22.7962128782
4196,4.275,772.5,0.0,22.8093339402,23.2800069134,23.2784561246,23.2801570306,23.2790852279,23.280281502,6.30294991159,22.8034523438
4197,4.31666666667,745.666666667,0.0,22.8136581395,23.280006923,23.2780589901,23.2794552903,23.2794664406,23.2805913547,6.2328035714,22.8093339402
4198,4.35833333333,718.833333333,0.0,22.8164381979,23.2800068759,23.2809761727,23.2799349951,23.2804674577,23.2801704968,6.16158040146,22.8136581395
4199,4.4,692.0,0.0,22.8177289643,23.2800067875,23.2788442847,23.2805705953,23.2782909867,23.2794554413,6.08967555139,22.8164381979
4200,4.30833333333,665.166666667,0.0,22.8319866152,23.7505930507,23.7476640094,23.7483629606,23.7467308626,23.7535788289,6.12630496478,22.8141299736
4201,4.21666666667,638.333333333,0.0,22.9176389673,23.7596731537,23.7601630369,23.7597222294,23.759082832,23.7597795583,5.5896888673,22.865952481
4202,4.125,611.5,0.0,22.9763759178,23.7599914454,23.7596888136,23.7595153322,23.7586682618,23.7591892869,5.51488359357,22.9353595878
4203,4.03333333333,584.666666667,0.0,22.9921622756,23.7599933668,23.7608305272,23.7599935509,23.758673642,23.7607539758,5.47029943277,22.9763759178
4204,3.94166666667,557.833333333,0.0,22.9803882322,23.7599926455,23.760204169,23.7600002563,23.7607832229,23.7591295603,5.3963725087,22.9921622756
4205,3.85,531.0,0.0,22.9573987779,23.7599921982,23.7584266846,23.7595468779,23.7603418572,23.7596503658,5.32379046404,22.9803882322
4206,3.75833333333,494.083333333,0.0,22.9312306877,23.7599921233,23.7607113266,23.7601908958,23.7596602441,23.7594021947,5.2406262856,22.9573987779
4207,3.66666666667,457.166666667,0.0,22.903555473,23.7599923235,23.7602503345,23.7612462105,23.7592191592,23.7590871328,5.15626641571,22.9312306877
4208,3.575,420.25,0.0,22.8736762386,23.7599926877,23.760538937,23.7617375669,23.7590364475,23.7594415977,5.07492451748,22.903555473
4209,3.48333333333,383.333333333,0.0,22.8404276874,23.759993413,23.7611464929,23.7596365192,23.7594859816,23.7604083854,4.97370578685,22.8736762386
4210,3.39166666667,346.416666667,0.0,22.8049936792,23.7599464509,23.7595285795,23.7600034834,23.7594634213,23.7590620688,4.93949580529,22.8404276874
4211,3.3,309.5,0.0,22.7687562516,23.7596578162,23.7614280227,23.7607983817,23.7600092201,23.7600364676,4.94362091823,22.8049936792
4212,3.3,272.583333333,0.0,22.7371538607,23.5706343388,23.5749756293,23.5679510648,23.5762727911,23.5697577532,4.92830709531,22.7687562516
4213,3.3,235.666666667,0.0,22.6895215754,23.5608217685,23.5613737581,23.5605391098,23.5607568431,23.5611275507,4.9394878638,22.7371538607
4214,3.3,198.75,0.0,22.6396314179,23.5592860673,23.5611701182,23.5601805073,23.5609948911,23.5603242013,4.90549364321,22.6895215754
4215,3.3,161.833333333,0.0,22.5987396024,23.5603626166,23.5582224782,23.5587866921,23.5594670193,23.5603341313,4.90549364321,22.6396314179
4216,3.3,124.916666667,0.0,22.5672476762,23.5588970527,23.5603906891,23.5610092705,23.5580785143,23.5591050989,4.90549364321,22.5987396024
4217,3.3,88.0,0.0,22.5409085373,23.5605144847,23.560371486,23.5602496739,23.5576359648,23.5599789358,4.90549364321,22.5672476762
4218,3.3,83.75,0.0,22.5164766477,23.5597981875,23.5620618137,23.5601058536,23.5605095398,23.5598336627,4.90549364321,22.5409085373
4219,3.3,79.5,0.0,22.4928208732,23.5606510907,23.5608123315,23.5585466838,23.5612981914,23.5598740361,4.90549364321,22.5164766477
4220,3.3,75.25,0.0,22.4701158074,23.558775592,23.5619909023,23.5594332494,23.5596911654,23.5596115933,4.90549364321,22.4928208732
4221,3.3,71.0,0.0,22.4488465766,23.5611333791,23.5602636776,23.5589921306,23.5590006098,23.5602750635,4.90549364321,22.4701158074
4222,3.3,66.75,0.0,22.4294327442,23.5596374866,23.5610527365,23.5597245892,23.5616355903,23.5592871347,4.90549364321,22.4488465766
4223,3.3,62.5,0.0,22.4119144073,23.5608296684,23.5590407472,23.5602990764,23.5593298255,23.5601836466,4.90549364321,22.4294327442
4224,3.25833333333,58.25,0.0,22.3958906789,23.8348623677,23.8270266867,23.8340928447,23.8192929561,23.8355080294,5.00279044823,22.4119144073
4225,3.21666666667,54.0,0.0,22.4065883905,23.84999136,23.8493402813,23.8507029505,23.8467589351,23.8497431684,4.90549364321,22.3958906789
4226,3.175,49.75,0.0,22.4228847131,23.849724651,23.8486468603,23.8498048132,23.847816807,23.8509118713,4.92369251342,22.4065883905
4227,3.13333333333,45.5,0.0,22.4271918084,23.8497343226,23.8499191837,23.8500289056,23.8496097905,23.8499720249,4.91069112938,22.4228847131
4228,3.09166666667,41.25,0.0,22.418653877,23.8500951457,23.8477341376,23.8490050771,23.850801614,23.850245099,4.91022382082,22.4271918084
4229,3.05,37.0,0.0,22.4033804015,23.8495581715,23.8503442778,23.8493332285,23.848983742,23.8500590389,4.91232057154,22.418653877
4230,3.00833333333,33.9166666667,0.0,22.3860996436,23.8507993471,23.8486898916,23.8491520233,23.8504134006,23.8494987153,4.91244596585,22.4033804015
4231,2.96666666667,30.8333333333,0.0,22.3685783076,23.8506128541,23.8492091071,23.851446646,23.850413093,23.8489375492,4.91326576023,22.3860996436
4232,2.925,27.75,0.0,22.3508785268,23.8503725671,23.8485747028,23.8492943785,23.8503598697,23.8498873842,4.91241151209,22.3685783076
4233,2.88333333333,24.6666666667,0.0,22.3329514667,23.851475053,23.8513248276,23.8488392208,23.8518078039,23.8499571081,4.91498794981,22.3508785268
4234,2.84166666667,21.5833333333,0.0,22.3147638715,23.8496939595,23.8522116408,23.8487196432,23.8515423994,23.8492308737,4.91505033167,22.3329514667
